query	entity	cs_confidence	expert_conf
INEX_LD-2009022	<dbpedia:Afghan_cuisine>	0.4	-
INEX_LD-2009022	<dbpedia:Akan_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:Ambuyat>	1.0	-
INEX_LD-2009022	<dbpedia:American_Chinese_cuisine>	0.6	1.0
INEX_LD-2009022	<dbpedia:Ants_climbing_a_tree>	0.4	1.0
INEX_LD-2009022	<dbpedia:Baingan_bharta>	0.4	-
INEX_LD-2009022	<dbpedia:Bamischijf>	0.6	-
INEX_LD-2009022	<dbpedia:Black_cardamom>	0.4	0.0
INEX_LD-2009022	<dbpedia:Brazilian_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:British_cuisine>	0.6	-
INEX_LD-2009022	<dbpedia:Caribbean_cuisine>	0.6	-
INEX_LD-2009022	<dbpedia:Cayenne_pepper>	0.6	1.0
INEX_LD-2009022	<dbpedia:Cellophane_noodles>	0.3	0.0
INEX_LD-2009022	<dbpedia:Ceviche>	0.6	-
INEX_LD-2009022	<dbpedia:Chana_masala>	0.3	-
INEX_LD-2009022	<dbpedia:Chen_Kenichi>	1.0	0.0
INEX_LD-2009022	<dbpedia:Chen_Kenmin>	1.0	1.0
INEX_LD-2009022	<dbpedia:Chicago-style_pizza>	0.6	-
INEX_LD-2009022	<dbpedia:Chicken_(food)>	0.6	-
INEX_LD-2009022	<dbpedia:Chifle>	1.0	-
INEX_LD-2009022	<dbpedia:Chili_oil>	0.6	1.0
INEX_LD-2009022	<dbpedia:Chinatown,_Los_Angeles>	1.0	0.0
INEX_LD-2009022	<dbpedia:Chinatown>	1.0	1.0
INEX_LD-2009022	<dbpedia:Chinese_cuisine>	0.3	1.0
INEX_LD-2009022	<dbpedia:Churumuri_(food)>	0.6	-
INEX_LD-2009022	<dbpedia:Cookbook>	1.0	-
INEX_LD-2009022	<dbpedia:Cooking>	1.0	-
INEX_LD-2009022	<dbpedia:Couscous>	0.6	-
INEX_LD-2009022	<dbpedia:Cuban_cuisine>	0.6	-
INEX_LD-2009022	<dbpedia:Cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:Cuisine_of_Jharkhand>	1.0	-
INEX_LD-2009022	<dbpedia:Cuisine_of_the_Southern_United_States>	0.6	-
INEX_LD-2009022	<dbpedia:Cuisine_of_the_United_States>	0.6	-
INEX_LD-2009022	<dbpedia:Culture_of_the_Song_dynasty>	1.0	0.0
INEX_LD-2009022	<dbpedia:Curry>	0.6	-
INEX_LD-2009022	<dbpedia:Dal_dhokli>	0.6	-
INEX_LD-2009022	<dbpedia:Ding_Baozhen>	0.6	0.0
INEX_LD-2009022	<dbpedia:Dish_(food)>	0.4	-
INEX_LD-2009022	<dbpedia:Doubanjiang>	0.3	0.0
INEX_LD-2009022	<dbpedia:Drunken_shrimp>	1.0	1.0
INEX_LD-2009022	<dbpedia:Escabeche>	0.6	-
INEX_LD-2009022	<dbpedia:Fermentation_in_food_processing>	1.0	1.0
INEX_LD-2009022	<dbpedia:Food_presentation>	1.0	-
INEX_LD-2009022	<dbpedia:Fried_rice>	1.0	-
INEX_LD-2009022	<dbpedia:Fuchsia_Dunlop>	1.0	1.0
INEX_LD-2009022	<dbpedia:Fufu>	0.3	-
INEX_LD-2009022	<dbpedia:Fuqi_feipian>	0.6	1.0
INEX_LD-2009022	<dbpedia:Gastronomy>	1.0	-
INEX_LD-2009022	<dbpedia:General_Tso's_chicken>	0.6	1.0
INEX_LD-2009022	<dbpedia:German_cuisine>	0.6	-
INEX_LD-2009022	<dbpedia:Ghanaian_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:Global_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:Gondi_dumpling>	0.6	-
INEX_LD-2009022	<dbpedia:Greek_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:Guizhou_cuisine>	0.6	0.0
INEX_LD-2009022	<dbpedia:Guoba>	0.2	1.0
INEX_LD-2009022	<dbpedia:Ham_salad>	0.6	-
INEX_LD-2009022	<dbpedia:Harees>	0.6	-
INEX_LD-2009022	<dbpedia:Hazaragi_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:History_of_Chinese_cuisine>	0.4	1.0
INEX_LD-2009022	<dbpedia:Hong_Kong_cuisine>	0.6	-
INEX_LD-2009022	<dbpedia:Hot_and_sour_soup>	0.4	0.0
INEX_LD-2009022	<dbpedia:Hot_pot>	0.4	1.0
INEX_LD-2009022	<dbpedia:Hot_sauce>	1.0	1.0
INEX_LD-2009022	<dbpedia:Huaiyang_cuisine>	1.0	1.0
INEX_LD-2009022	<dbpedia:Hunan_cuisine>	0.6	0.0
INEX_LD-2009022	<dbpedia:Indian_Chinese_cuisine>	0.6	1.0
INEX_LD-2009022	<dbpedia:Indian_Singaporean_cuisine>	0.6	-
INEX_LD-2009022	<dbpedia:Indian_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:Indonesian_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:Italian_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:Kebab>	0.6	-
INEX_LD-2009022	<dbpedia:Khmer_(food)>	0.6	-
INEX_LD-2009022	<dbpedia:Knieperkohl>	1.0	-
INEX_LD-2009022	<dbpedia:Korean_cuisine>	0.6	-
INEX_LD-2009022	<dbpedia:Korean_royal_court_cuisine>	0.6	-
INEX_LD-2009022	<dbpedia:Kung_Pao_chicken>	0.2	-
INEX_LD-2009022	<dbpedia:Latin_American_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:Lechon>	0.6	-
INEX_LD-2009022	<dbpedia:List_of_Asian_cuisines>	0.4	-
INEX_LD-2009022	<dbpedia:List_of_Chinese_dishes>	0.6	1.0
INEX_LD-2009022	<dbpedia:List_of_cuisines>	0.4	-
INEX_LD-2009022	<dbpedia:List_of_egg_dishes>	0.6	-
INEX_LD-2009022	<dbpedia:List_of_foods>	1.0	-
INEX_LD-2009022	<dbpedia:List_of_potato_dishes>	1.0	-
INEX_LD-2009022	<dbpedia:Mala_sauce>	0.6	1.0
INEX_LD-2009022	<dbpedia:Malay_cuisine>	0.6	-
INEX_LD-2009022	<dbpedia:Mangú>	1.0	-
INEX_LD-2009022	<dbpedia:Mapo_doufu>	0.6	1.0
INEX_LD-2009022	<dbpedia:Mexican_cuisine>	1.0	-
INEX_LD-2009022	<dbpedia:National_dish>	1.0	1.0
INEX_LD-2009022	<dbpedia:Omelette>	1.0	-
INEX_LD-2009022	<dbpedia:Osh_(food)>	1.0	-
INEX_LD-2009022	<dbpedia:Outline_of_cuisines>	1.0	1.0
